reclamo_ano,reclamo_mes_nro,reclamo_mes_nombre,reclamo_prestadora,reclamo_provincia,reclamo_grupo,reclamo_via_ingreso,reclamo_resolucion,reclamo_cantidad
2020,1,Enero,Camuzzi Gas del Sur S.A.,Río Negro,I - FACTURACION Y GESTION DE DEUDAS,CORREO POSTAL,Procedente,7
2020,1,Enero,Camuzzi Gas del Sur S.A.,Chubut,I - FACTURACION Y GESTION DE DEUDAS,CORREO POSTAL,Procedente,2
2020,1,Enero,Camuzzi Gas del Sur S.A.,Tierra del Fuego Antártida e Islas del Atlántico Sur,I - FACTURACION Y GESTION DE DEUDAS,CORREO POSTAL,Procedente,1
2020,1,Enero,Camuzzi Gas del Sur S.A.,Neuquén,I - FACTURACION Y GESTION DE DEUDAS,CORREO POSTAL,Procedente,3
2020,1,Enero,Camuzzi Gas del Sur S.A.,Neuquén,I - FACTURACION Y GESTION DE DEUDAS,CORREO POSTAL,Improcedente,8
2020,1,Enero,Camuzzi Gas del Sur S.A.,Santa Cruz,I - FACTURACION Y GESTION DE DEUDAS,CORREO POSTAL,Improcedente,4
2020,1,Enero,Camuzzi Gas del Sur S.A.,Río Negro,I - FACTURACION Y GESTION DE DEUDAS,CORREO POSTAL,Improcedente,4
2020,1,Enero,Camuzzi Gas del Sur S.A.,Tierra del Fuego Antártida e Islas del Atlántico Sur,I - FACTURACION Y GESTION DE DEUDAS,CORREO POSTAL,Improcedente,4
2020,1,Enero,Camuzzi Gas del Sur S.A.,Chubut,I - FACTURACION Y GESTION DE DEUDAS,CORREO POSTAL,Improcedente,13
2020,1,Enero,Camuzzi Gas del Sur S.A.,Chubut,I - FACTURACION Y GESTION DE DEUDAS,ENARGAS,Procedente,4
2020,1,Enero,Camuzzi Gas del Sur S.A.,Río Negro,I - FACTURACION Y GESTION DE DEUDAS,ENARGAS,Procedente,7
2020,1,Enero,Camuzzi Gas del Sur S.A.,Tierra del Fuego Antártida e Islas del Atlántico Sur,I - FACTURACION Y GESTION DE DEUDAS,ENARGAS,Procedente,3
2020,1,Enero,Camuzzi Gas del Sur S.A.,Santa Cruz,I - FACTURACION Y GESTION DE DEUDAS,ENARGAS,Improcedente,2
2020,1,Enero,Camuzzi Gas del Sur S.A.,Tierra del Fuego Antártida e Islas del Atlántico Sur,I - FACTURACION Y GESTION DE DEUDAS,ENARGAS,Improcedente,5
2020,1,Enero,Camuzzi Gas del Sur S.A.,Neuquén,I - FACTURACION Y GESTION DE DEUDAS,ENARGAS,Improcedente,4
2020,1,Enero,Camuzzi Gas del Sur S.A.,Río Negro,I - FACTURACION Y GESTION DE DEUDAS,ENARGAS,Improcedente,8
2020,1,Enero,Camuzzi Gas del Sur S.A.,Chubut,I - FACTURACION Y GESTION DE DEUDAS,ENARGAS,Improcedente,3
2020,1,Enero,Camuzzi Gas del Sur S.A.,Chubut,I - FACTURACION Y GESTION DE DEUDAS,LIBRO DE QUEJA,Improcedente,1
2020,1,Enero,Camuzzi Gas del Sur S.A.,Neuquén,I - FACTURACION Y GESTION DE DEUDAS,LIBRO DE QUEJA,Improcedente,1
2020,1,Enero,Camuzzi Gas del Sur S.A.,Buenos Aires,I - FACTURACION Y GESTION DE DEUDAS,PERSONAL,Procedente,1
2020,1,Enero,Camuzzi Gas del Sur S.A.,Chubut,I - FACTURACION Y GESTION DE DEUDAS,PERSONAL,Procedente,13
2020,1,Enero,Camuzzi Gas del Sur S.A.,Río Negro,I - FACTURACION Y GESTION DE DEUDAS,PERSONAL,Procedente,16
2020,1,Enero,Camuzzi Gas del Sur S.A.,Tierra del Fuego Antártida e Islas del Atlántico Sur,I - FACTURACION Y GESTION DE DEUDAS,PERSONAL,Procedente,17
2020,1,Enero,Camuzzi Gas del Sur S.A.,Neuquén,I - FACTURACION Y GESTION DE DEUDAS,PERSONAL,Procedente,54
2020,1,Enero,Camuzzi Gas del Sur S.A.,Neuquén,I - FACTURACION Y GESTION DE DEUDAS,PERSONAL,Improcedente,63
2020,1,Enero,Camuzzi Gas del Sur S.A.,Tierra del Fuego Antártida e Islas del Atlántico Sur,I - FACTURACION Y GESTION DE DEUDAS,PERSONAL,Improcedente,34
2020,1,Enero,Camuzzi Gas del Sur S.A.,Chubut,I - FACTURACION Y GESTION DE DEUDAS,PERSONAL,Improcedente,26
2020,1,Enero,Camuzzi Gas del Sur S.A.,Río Negro,I - FACTURACION Y GESTION DE DEUDAS,PERSONAL,Improcedente,22
2020,1,Enero,Camuzzi Gas del Sur S.A.,Santa Cruz,I - FACTURACION Y GESTION DE DEUDAS,PERSONAL,Improcedente,13
2020,1,Enero,Camuzzi Gas del Sur S.A.,Buenos Aires,I - FACTURACION Y GESTION DE DEUDAS,TELEFONICO,Procedente,3
2020,1,Enero,Camuzzi Gas del Sur S.A.,Chubut,I - FACTURACION Y GESTION DE DEUDAS,TELEFONICO,Procedente,109
2020,1,Enero,Camuzzi Gas del Sur S.A.,Neuquén,I - FACTURACION Y GESTION DE DEUDAS,TELEFONICO,Procedente,162
2020,1,Enero,Camuzzi Gas del Sur S.A.,Santa Cruz,I - FACTURACION Y GESTION DE DEUDAS,TELEFONICO,Procedente,6
2020,1,Enero,Camuzzi Gas del Sur S.A.,Tierra del Fuego Antártida e Islas del Atlántico Sur,I - FACTURACION Y GESTION DE DEUDAS,TELEFONICO,Procedente,43
2020,1,Enero,Camuzzi Gas del Sur S.A.,Río Negro,I - FACTURACION Y GESTION DE DEUDAS,TELEFONICO,Procedente,120
2020,1,Enero,Camuzzi Gas del Sur S.A.,Santa Cruz,I - FACTURACION Y GESTION DE DEUDAS,TELEFONICO,Improcedente,37
2020,1,Enero,Camuzzi Gas del Sur S.A.,Río Negro,I - FACTURACION Y GESTION DE DEUDAS,TELEFONICO,Improcedente,216
2020,1,Enero,Camuzzi Gas del Sur S.A.,Buenos Aires,I - FACTURACION Y GESTION DE DEUDAS,TELEFONICO,Improcedente,26
2020,1,Enero,Camuzzi Gas del Sur S.A.,Neuquén,I - FACTURACION Y GESTION DE DEUDAS,TELEFONICO,Improcedente,256
2020,1,Enero,Camuzzi Gas del Sur S.A.,Tierra del Fuego Antártida e Islas del Atlántico Sur,I - FACTURACION Y GESTION DE DEUDAS,TELEFONICO,Improcedente,57
2020,1,Enero,Camuzzi Gas del Sur S.A.,Chubut,I - FACTURACION Y GESTION DE DEUDAS,TELEFONICO,Improcedente,182
2020,1,Enero,Camuzzi Gas del Sur S.A.,Neuquén,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,CORREO POSTAL,Procedente,1
2020,1,Enero,Camuzzi Gas del Sur S.A.,Tierra del Fuego Antártida e Islas del Atlántico Sur,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,CORREO POSTAL,Procedente,1
2020,1,Enero,Camuzzi Gas del Sur S.A.,Chubut,II - INCONVENIENTES EN EL SUMINISTRO DE GAS,CORREO POSTAL,Improcedente,1
